,title,id,language,ontologyId,resultType,access,distance,categories,references,address.label,address.countryCode,address.countryName,address.stateCode,address.state,address.county,address.city,address.district,address.subdistrict,address.postalCode,position.lat,position.lng,address.street,contacts
0,Air India Housing Colony-Gate No 2,here:pds:place:356jx7ps-20b341352ae1065bb224f2243aa8631d,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 28.55808, 'lng': 77.15719}]",629,"[{'id': '900-9300-0221', 'name': 'Residential Area/Building', 'primary': True}, {'id': '700-7200-0324', 'name': 'Apartment/Flat Rental'}]","[{'supplier': {'id': 'core'}, 'id': '1048325769'}]","Air India Housing Colony-Gate No 2, Air India Housing Colony, Vasant Vihar, Delhi 110057, India",IND,India,DL,Delhi,South West,Delhi,Vasant Vihar,Air India Housing Colony,110057,28.55816,77.15732,,
1,Rbi Officer Flats,here:pds:place:356ttnf7-fe34bf8822054c89b7c6cf6abe9eea81,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 28.55971, 'lng': 77.15403}]",985,"[{'id': '900-9300-0221', 'name': 'Residential Area/Building', 'primary': True}, {'id': '700-7200-0324', 'name': 'Apartment/Flat Rental'}]","[{'supplier': {'id': 'core'}, 'id': '1207774229'}]","Rbi Officer Flats, Poorvi Marg, Block D, Vasant Vihar, Delhi 110057, India",IND,India,DL,Delhi,South West,Delhi,Vasant Vihar,Block D,110057,28.55974,77.15401,Poorvi Marg,
2,Air India Housing Colony-Gate No 1,here:pds:place:356jx7ps-39db02c85e5b0d7ce240a1d9251e7122,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 28.55917, 'lng': 77.15331}]",1033,"[{'id': '900-9300-0221', 'name': 'Residential Area/Building', 'primary': True}, {'id': '700-7200-0324', 'name': 'Apartment/Flat Rental'}]","[{'supplier': {'id': 'core'}, 'id': '1048325803'}]","Air India Housing Colony-Gate No 1, Poorvi Marg, Air India Housing Colony, Vasant Vihar, Delhi 110057, India",IND,India,DL,Delhi,South West,Delhi,Vasant Vihar,Air India Housing Colony,110057,28.55915,77.15333,Poorvi Marg,
3,Block E Vasant Vihar-Gate No 1,here:pds:place:356jx7ps-94e722864b3902cee70ab4d28f36735f,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 28.5645, 'lng': 77.15587}]",1129,"[{'id': '900-9300-0221', 'name': 'Residential Area/Building', 'primary': True}, {'id': '700-7200-0324', 'name': 'Apartment/Flat Rental'}]","[{'supplier': {'id': 'core'}, 'id': '1122657777'}]","Block E Vasant Vihar-Gate No 1, Paschimi Marg, Block D, Vasant Vihar, Delhi 110057, India",IND,India,DL,Delhi,South West,Delhi,Vasant Vihar,Block D,110057,28.56455,77.15574,Paschimi Marg,
4,Block B Vasant Vihar-Gate No 2,here:pds:place:356jx7ps-c82e3b6e19f50c4339e60424d3b76038,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 28.56803, 'lng': 77.16049}]",1240,"[{'id': '900-9300-0221', 'name': 'Residential Area/Building', 'primary': True}, {'id': '700-7200-0324', 'name': 'Apartment/Flat Rental'}]","[{'supplier': {'id': 'core'}, 'id': '1164043073'}]","Block B Vasant Vihar-Gate No 2, Paschimi Marg, Block B, Vasant Vihar, Delhi 110057, India",IND,India,DL,Delhi,South West,Delhi,Vasant Vihar,Block B,110057,28.56797,77.16053,Paschimi Marg,
5,Vasant Apartment,here:pds:place:356jx7ps-8e58493aea0d0c1e17bc2eb2531bbc8d,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 28.57407, 'lng': 77.15647}]",2009,"[{'id': '900-9300-0221', 'name': 'Residential Area/Building', 'primary': True}, {'id': '700-7200-0324', 'name': 'Apartment/Flat Rental'}]","[{'supplier': {'id': 'core'}, 'id': '1048325728'}]","Vasant Apartment, Vasant Village, Vasant Vihar, Delhi 110057, India",IND,India,DL,Delhi,South West,Delhi,Vasant Vihar,Vasant Village,110057,28.5741,77.1565,,
6,Shanti Niketan Gate No 11,here:pds:place:356jx7ps-81af2558080c05a4db0fbd6b51bc8c23,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 28.57852, 'lng': 77.17244}]",2518,"[{'id': '900-9300-0221', 'name': 'Residential Area/Building', 'primary': True}, {'id': '700-7200-0324', 'name': 'Apartment/Flat Rental'}]","[{'supplier': {'id': 'core'}, 'id': '1103940680'}]","Shanti Niketan Gate No 11, Shanti Niketan Street, Shanti Niketan, Moti Bagh, Delhi 110021, India",IND,India,DL,Delhi,South West,Delhi,Moti Bagh,Shanti Niketan,110021,28.5784,77.1726,Shanti Niketan Street,
7,Central Govt Employees Flats,here:pds:place:356ttnfs-b19aba517a564fd4ab179a709e93af4b,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 28.57847, 'lng': 77.17276}]",2532,"[{'id': '900-9300-0221', 'name': 'Residential Area/Building', 'primary': True}, {'id': '700-7200-0324', 'name': 'Apartment/Flat Rental'}]","[{'supplier': {'id': 'core'}, 'id': '1070553460'}]","Central Govt Employees Flats, Moti Bagh South-Block C, Moti Bagh, Delhi 110021, India",IND,India,DL,Delhi,South West,Delhi,Moti Bagh,Moti Bagh South-Block C,110021,28.57849,77.17274,,
8,Anand Niketan-Gate No 6,here:pds:place:356jx7ps-0816631bcf2b02210a74a322ef1f053d,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 28.58059, 'lng': 77.16359}]",2608,"[{'id': '900-9300-0221', 'name': 'Residential Area/Building', 'primary': True}, {'id': '700-7200-0324', 'name': 'Apartment/Flat Rental'}]","[{'supplier': {'id': 'core'}, 'id': '1103918713'}]","Anand Niketan-Gate No 6, Anand Niketan-Block D, Moti Bagh, Delhi 110021, India",IND,India,DL,Delhi,South West,Delhi,Moti Bagh,Anand Niketan-Block D,110021,28.58061,77.16366,,
9,CPWD Block G Type 3-Main Gate,here:pds:place:356jx7ps-d0af45f835440a017059c3340f9ddd50,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 28.58128, 'lng': 77.16542}]",2690,"[{'id': '900-9300-0221', 'name': 'Residential Area/Building', 'primary': True}, {'id': '700-7200-0324', 'name': 'Apartment/Flat Rental'}]","[{'supplier': {'id': 'core'}, 'id': '1135109451'}]","CPWD Block G Type 3-Main Gate, Shanti Niketan Street, Anand Niketan-Block B, Moti Bagh, Delhi 110021, India",IND,India,DL,Delhi,South West,Delhi,Moti Bagh,Anand Niketan-Block B,110021,28.5813,77.16543,Shanti Niketan Street,
